,Series Code,Category,Definition
2,BAR_SCHL_1519,Education_Avg Years,"Average years of total schooling, 15-19, total is the average years of education completed among people age 15-19."
2,BAR_SCHL_1519_FE,Education_Avg Years,"Average years of total schooling, 15-19, female is the average years of education completed among females age 15-19."
2,BAR_SCHL_15UP,Education_Avg Years,"Average years of total schooling, 15+, total is the average years of education completed among people over age 15."
2,BAR_SCHL_15UP_FE,Education_Avg Years,"Average years of total schooling, 15+, female is the average years of education completed among females over age 15."
2,BAR_SCHL_2024,Education_Avg Years,"Average years of total schooling, 20-24, total is the average years of education completed among people age 20-24."
2,BAR_SCHL_2024_FE,Education_Avg Years,"Average years of total schooling, 20-24, female is the average years of education completed among females age 20-24."
2,BAR_SCHL_2529,Education_Avg Years,"Average years of total schooling, 25-29, total is the average years of education completed among people age 25-29."
2,BAR_SCHL_2529_FE,Education_Avg Years,"Average years of total schooling, 25-29, female is the average years of education completed among females age 25-29."
2,BAR_SCHL_25UP,Education_Avg Years,"Average years of total schooling, 25+, total is the average years of education completed among people over age 25."
2,BAR_SCHL_25UP_FE,Education_Avg Years,"Average years of total schooling, 25+, female is the average years of education completed among females over age 25."
2,BAR_SCHL_3034,Education_Avg Years,"Average years of total schooling, 30-34, total is the average years of education completed among people age 30-34."
2,BAR_SCHL_3034_FE,Education_Avg Years,"Average years of total schooling, 30-34, female is the average years of education completed among females age 30-34."
2,BAR_SCHL_3539,Education_Avg Years,"Average years of total schooling, 35-39, total is the average years of education completed among people age 35-39."
2,BAR_SCHL_3539_FE,Education_Avg Years,"Average years of total schooling, 35-39, female is the average years of education completed among females age 35-39."
2,BAR_SCHL_4044,Education_Avg Years,"Average years of total schooling, 40-44, total is the average years of education completed among people age 40-44."
2,BAR_SCHL_4044_FE,Education_Avg Years,"Average years of total schooling, 40-44, female is the average years of education completed among females age 40-44."
2,BAR_SCHL_4549,Education_Avg Years,"Average years of total schooling, 45-49, total is the average years of education completed among people age 45-49."
2,BAR_SCHL_4549_FE,Education_Avg Years,"Average years of total schooling, 45-49, female is the average years of education completed among females age 45-49."
2,BAR_SCHL_5054,Education_Avg Years,"Average years of total schooling, 50-54, total is the average years of education completed among people age 50-54."
2,BAR_SCHL_5054_FE,Education_Avg Years,"Average years of total schooling, 50-54, female is the average years of education completed among females age 50-54."
2,BAR_SCHL_5559,Education_Avg Years,"Average years of total schooling, 55-59, total is the average years of education completed among people age 55-59."
2,BAR_SCHL_5559_FE,Education_Avg Years,"Average years of total schooling, 55-59, female is the average years of education completed among females age 55-59."
2,BAR_SCHL_6064,Education_Avg Years,"Average years of total schooling, 60-64, total is the average years of education completed among people age 60-64."
2,BAR_SCHL_6064_FE,Education_Avg Years,"Average years of total schooling, 60-64, female is the average years of education completed among females age 60-64."
2,BAR_SCHL_6569,Education_Avg Years,"Average years of total schooling, 65-69, total is the average years of education completed among people age 65-69."
2,BAR_SCHL_6569_FE,Education_Avg Years,"Average years of total schooling, 65-69, female is the average years of education completed among females age 65-69."
2,BAR_SCHL_7074,Education_Avg Years,"Average years of total schooling, 70-74, total is the average years of education completed among people age 70-74."
2,BAR_SCHL_7074_FE,Education_Avg Years,"Average years of total schooling, 70-74, female is the average years of education completed among females age 70-74."
2,BAR_SCHL_75UP,Education_Avg Years,"Average years of total schooling, 75+, total is the average years of education completed among people over age 75."
2,BAR_SCHL_75UP_FE,Education_Avg Years,"Average years of total schooling, 75+, female is the average years of education completed among females over age 75."
3,SE_ADT_1524_LT_FE_ZS,Education_literacy,"Number of females age 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life, divided by the female population in that age group. Generally, 'literacy' also encompasses 'numeracy', the ability to make simple arithmetic calculations. Divide the number of people aged 15 to 24 years who are literate by the total population in the same age group and multiply the result by 100."
3,SE_ADT_1524_LT_FM_ZS,Education_literacy,"Ratio of female youth literacy rate to male youth literacy rate. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females."
3,SE_ADT_1524_LT_MA_ZS,Education_literacy,"Number of males age 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life, divided by the male population in that age group. Generally, 'literacy' also encompasses 'numeracy', the ability to make simple arithmetic calculations. Divide the number of people aged 15 to 24 years who are literate by the total population in the same age group and multiply the result by 100."
3,SE_ADT_1524_LT_ZS,Education_literacy,"Number of people age 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life, divided by the population in that age group. Generally, 'literacy' also encompasses 'numeracy', the ability to make simple arithmetic calculations. Divide the number of people aged 15 to 24 years who are literate by the total population in the same age group and multiply the result by 100."
3,SE_ADT_LITR_FE_ZS,Education_literacy,"Percentage of females age 15 and above who can, with understanding, read and write a short, simple statement on their everyday life. Generally, 'literacy' also encompasses 'numeracy', the ability to make simple arithmetic calculations. This indicator is calculated by dividing the number of female literates aged 15 years and over by the corresponding age group population and multiplying the result by 100."
3,SE_ADT_LITR_MA_ZS,Education_literacy,"Percentage of males age 15 and above who can, with understanding, read and write a short, simple statement on their everyday life. Generally, 'literacy' also encompasses 'numeracy', the ability to make simple arithmetic calculations. This indicator is calculated by dividing the number of male literates aged 15 years and over by the corresponding age group population and multiplying the result by 100."
3,SE_ADT_LITR_ZS,Education_literacy,"Percentage of the population age 15 and above who can, with understanding, read and write a short, simple statement on their everyday life. Generally, 'literacy' also encompasses 'numeracy', the ability to make simple arithmetic calculations. This indicator is calculated by dividing the number of literates aged 15 years and over by the corresponding age group population and multiplying the result by 100."
4,UIS_EA_1_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with completed primary (ISCED 1) as the highest level of educational attainment. This indicator is calculated by dividing the number of persons aged 25 years and above with completed primary education as the highest level of educational attainment by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_1T6_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with at least completed primary education (ISCED 1 or higher). This indicator is calculated by dividing the number of persons aged 25 years and above with completed primary education by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_2_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with completed lower secondary education (ISCED 2) as the highest level of educational attainment. This indicator is calculated by dividing the number of persons aged 25 years and above who completed lower secondary education as the highest level of educational attainment by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_2T6_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with at least completed lower secondary education (ISCED 2 or higher). This indicator is calculated by dividing the number of persons aged 25 years and above with completed lower secondary education by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_3_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with completed upper secondary education (ISCED 3) as the highest level of educational attainment. This indicator is calculated by dividing the number of persons aged 25 years and above who completed upper secondary education as the highest level of educational attainment by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_3T6_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with at least completed upper secondary education (ISCED 3 or higher). This indicator is calculated by dividing the number of persons aged 25 years and above with completed upper secondary education by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_4_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with completed post-secondary education (ISCED 4) as the highest level of educational attainment. This indicator is calculated by dividing the number of persons aged 25 years and above who completed post-secondary education as the highest level of educational attainment by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_4T6_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with at least completed post-secondary education (ISCED 4 or higher). This indicator is calculated by dividing the number of persons aged 25 years and above with completed post-secondary education by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_5_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with a completed short-cycle tertiary degree (ISCED 5) degree as the highest level of educational attainment. This indicator is calculated by dividing the number of persons aged 25 years and above who completed a short-cycle tertiary degree as the highest level of educational attainment by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_5T8_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with a completed short-cycle tertiary degree (ISCED 5) or higher. This indicator is calculated by dividing the number of persons aged 25 years and above with a completed short-cycle tertiary degree by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_6_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with a completed bachelor's or equivalent degree (ISCED 6) degree as the highest level of educational attainment. This indicator is calculated by dividing the number of persons aged 25 years and above who completed a bachelor's or equivalent degree as the highest level of educational attainment by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_6T8_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with a completed bachelor's or equivalent degree (ISCED 6) or higher. This indicator is calculated by dividing the number of persons aged 25 years and above with a completed bachelor's or equivalent degree by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_7_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with a completed master's or equivalent degree (ISCED 7) degree as the highest level of educational attainment. This indicator is calculated by dividing the number of persons aged 25 years and above who completed a master's or equivalent degree as the highest level of educational attainment by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_7T8_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with a completed master's or equivalent degree (ISCED 7) or higher. This indicator is calculated by dividing the number of persons aged 25 years and above with a completed master's or equivalent degree by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
4,UIS_EA_8_AG25T99,Education_Pct,"The percentage of population (age 25 and over) with a completed doctoral or equivalent degree (ISCED 8). This indicator is calculated by dividing the number of persons aged 25 years and above with a completed doctoral or equivalent degree by the total population of the same age group and multiplying the result by 100. The UNESCO Institute for Statistics (UIS) educational attainment dataset shows the educational composition of the population aged 25 years and above and hence the stock and quality of human capital within a country. The dataset also reflects the structure and performance of the education system and its accumulated impact on human capital formation. For more information, visit the UNESCO Institute for Statistics website: http://www.uis.unesco.org/"
5,UIS_PTRHC_2,Education_PTR,"Average number of pupils per teacher at a given level of education, based on headcounts of both pupils and teachers. Divide the total number of pupils enrolled at the specified level of education by the number of teachers at the same level. In computing and interpreting this indicator, one should take into account the existence of part-time teaching, school-shifts, multi-grade classes and other practices that may affect the precision and meaningfulness of pupil-teacher ratios. When feasible, the number of part-time teachers is converted to 'full-time equivalent' teachers; a double-shift teacher is counted twice, etc. Teachers are defined as persons whose professional activity involves the transmitting of knowledge, attitudes and skills that are stipulated in a formal curriculum programme to students enrolled in a formal educational institution."
5,UIS_PTRHC_3,Education_PTR,"Average number of pupils per teacher at a given level of education, based on headcounts of both pupils and teachers. Divide the total number of pupils enrolled at the specified level of education by the number of teachers at the same level. In computing and interpreting this indicator, one should take into account the existence of part-time teaching, school-shifts, multi-grade classes and other practices that may affect the precision and meaningfulness of pupil-teacher ratios. When feasible, the number of part-time teachers is converted to 'full-time equivalent' teachers; a double-shift teacher is counted twice, etc. Teachers are defined as persons whose professional activity involves the transmitting of knowledge, attitudes and skills that are stipulated in a formal curriculum programme to students enrolled in a formal educational institution."
5,UIS_PTRHC_56,Education_PTR,"Average number of pupils per teacher at a given level of education, based on headcounts of both pupils and teachers. Divide the total number of pupils enrolled at the specified level of education by the number of teachers at the same level. In computing and interpreting this indicator, one should take into account the existence of part-time teaching, school-shifts, multi-grade classes and other practices that may affect the precision and meaningfulness of pupil-teacher ratios. When feasible, the number of part-time teachers is converted to 'full-time equivalent' teachers; a double-shift teacher is counted twice, etc. Teachers are defined as persons whose professional activity involves the transmitting of knowledge, attitudes and skills that are stipulated in a formal curriculum programme to students enrolled in a formal educational institution."
6,EG_ELC_ACCS_ZS,Environment,"Access to electricity is the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources."
6,EN_POP_SLUM_UR_ZS,Environment,"Population living in slums is the proportion of the urban population living in slum households. A slum household is defined as a group of individuals living under the same roof lacking one or more of the following conditions: access to improved water, access to improved sanitation, sufficient living area, and durability of housing."
,IT_NET_USER_P2,Background,"Internet users are individuals who have used the Internet (from any location) in the last 12 months. Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc."
,SG_VAW_BURN_ZS,Health,Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she burns the food.
,SH_DYN_AIDS_ZS,Background,Prevalence of HIV refers to the percentage of people ages 15-49 who are infected with HIV.
,SH_DYN_MORT,Background,"Under-five mortality rate is the probability per 1,000 that a newborn baby will die before reaching age five, if subject to age-specific mortality rates of the specified year."
,SH_MED_PHYS_ZS,Health,Physicians include generalist and specialist medical practitioners.
,SH_TBS_PREV,Health,"Prevalence of tuberculosis is the estimated number of TB cases (all forms) at a given point in time, expressed as the rate per 100,000 population. Estimates for all years are recalculated as new information becomes available and techniques are refined, so they may differ from those published previously."
,SH_XPD_PCAP,Health,"Total health expenditure is the sum of public and private health expenditures as a ratio of total population. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation. Data are in current U.S. dollars."
,SN_ITK_DEFC_ZS,Health,Population below minimum level of dietary energy consumption (also referred to as prevalence of undernourishment) shows the percentage of the population whose food intake is insufficient to meet dietary energy requirements continuously. Data showing as 2.5 signifies a prevalence of undernourishment below 2.5%.
,SP_POP_DPND,Health,Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.
