loan_amnt,total_acc,loan_status,funded_amnt,id,grade,emp_length,revol_bal,annual_inc,issue_date,addr_state
12500,28,Charged Off,8925,1069093,D,5 years,9844,30000,01/12/2011,MN
16425,18,Fully Paid,16425,1069030,C,4 years,15747,44544,01/12/2011,CA
8200,11,Charged Off,8200,1068906,F,4 years,9012,75000,01/12/2011,CA
15000,18,Fully Paid,15000,1069073,C,2 years,19397,61000,01/12/2011,FL
20975,21,Fully Paid,13575,1069043,D,5 years,20657,44000,01/12/2011,GA
6400,27,Charged Off,6400,1060981,D,5 years,7159,75000,01/12/2011,CA
3000,7,Fully Paid,3000,1069071,C,1 year,2745,33600,01/12/2011,AL
12000,19,Fully Paid,12000,1069070,D,3 years,11443,50000,01/12/2011,MA
14400,38,Fully Paid,14400,1068893,A,< 1 year,63864,150000,01/12/2011,NY
12000,36,Fully Paid,12000,1068882,C,10+ years,17116,90000,01/12/2011,NJ
11000,29,Fully Paid,11000,1069039,C,10+ years,11382,48000,01/12/2011,TX
7250,19,Fully Paid,7200,1068416,F,< 1 year,21706,75000,01/12/2011,CA
15000,29,Fully Paid,15000,1068997,A,1 year,1616,52000,01/12/2011,TX
18000,40,Fully Paid,18000,1048390,E,10+ years,11745,65000,01/12/2011,FL
35000,31,Fully Paid,22075,1068994,D,3 years,7334,150000,01/12/2011,NY
10000,15,Fully Paid,10000,1068475,C,2 years,11303,68000,01/12/2011,PA
11800,13,Fully Paid,11800,1068989,B,6 years,8940,42000,01/12/2011,NY
4500,17,Fully Paid,4500,1068967,A,4 years,8630,53000,01/12/2011,CA
7000,26,Fully Paid,7000,1068744,B,10+ years,7649,35000,01/12/2011,CA
9200,19,Fully Paid,9200,1045509,B,2 years,23299,60000,01/12/2011,CA
14000,10,Current,14000,1063958,D,4 years,6986,28000,01/12/2011,WA
4500,9,Fully Paid,4500,1041756,B,< 1 year,8220,42000,01/12/2011,TX
12000,15,Fully Paid,12000,1068694,D,9 years,22936,88365,01/12/2011,AZ
12000,19,Fully Paid,12000,1068792,C,4 years,3419,72000,01/12/2011,CA
12000,51,Fully Paid,12000,1068558,B,< 1 year,20310,62000,01/12/2011,TX
7000,11,Fully Paid,7000,1068322,B,3 years,6245,43680,01/12/2011,MN
8200,6,Fully Paid,8200,1065674,E,3 years,10392,120000,01/12/2011,NY
10500,26,Fully Paid,10500,1068547,B,10+ years,5790,66000,01/12/2011,CA
7000,26,Fully Paid,7000,1068545,B,4 years,9414,39120,01/12/2011,FL
15300,27,Current,15300,1068575,F,6 years,26524,85000,01/12/2011,VA
20000,27,Fully Paid,12800,1049528,B,4 years,16447,47800,01/12/2011,VA
17500,26,Charged Off,17500,1068542,D,7 years,20129,45000,01/12/2011,WA
3500,28,Fully Paid,3500,1068350,A,10+ years,3092,83000,01/12/2011,IL
6000,17,Current,6000,1067874,B,< 1 year,15102,81000,01/12/2011,CO
6200,12,Charged Off,6200,1068509,B,2 years,6533,25000,01/12/2011,CA
16000,16,Fully Paid,16000,1034693,D,7 years,21166,65000,01/12/2011,KS
6000,13,Fully Paid,6000,1068508,A,8 years,5269,28800,01/12/2011,NJ
7200,18,Fully Paid,7200,1066641,B,6 years,16627,135000,01/12/2011,NY
9500,13,Fully Paid,9500,1068315,A,7 years,13422,50000,01/12/2011,TX
18825,7,Charged Off,18825,1068309,D,10+ years,11004,38000,01/12/2011,TX
24000,9,Fully Paid,24000,1068326,B,10+ years,24708,45000,01/12/2011,CA
6000,16,Fully Paid,6000,1066767,C,10+ years,15499,80000,01/12/2011,CA
6000,7,Fully Paid,6000,1068484,C,5 years,15191,50000,01/12/2011,AZ
2100,26,Fully Paid,2100,1068292,B,10+ years,12183,30000,01/12/2011,LA
5500,26,Fully Paid,5500,1068273,A,8 years,14136,110000,01/12/2011,CT
11000,11,Fully Paid,11000,1068274,A,8 years,10677,45608,01/12/2011,LA
26800,18,Fully Paid,26800,1068440,F,3 years,14772,120000,01/12/2011,FL
8000,18,Fully Paid,8000,1046456,B,5 years,6842,35000,01/12/2011,IL
10000,26,Charged Off,10000,1068012,D,1 year,22828,75000,01/12/2011,CA
8000,8,Fully Paid,8000,1055725,B,9 years,6142,35000,01/12/2011,NV
10000,21,Fully Paid,10000,1061814,A,6 years,6734,24000,01/12/2011,CA
12000,38,Fully Paid,12000,1068232,B,2 years,32711,126000,01/12/2011,OH
10000,16,Fully Paid,10000,1068405,A,1 year,8215,43000,01/12/2011,CA
12000,25,Fully Paid,12000,1068395,B,1 year,14335,50000,01/12/2011,CA
25000,21,Charged Off,25000,1068202,C,10+ years,15319,67000,01/12/2011,AK
19750,28,Charged Off,19750,1068006,B,4 years,16576,45000,01/12/2011,OR
10000,19,Fully Paid,10000,1068075,B,3 years,5540,31200,01/12/2011,NY
13650,34,Fully Paid,13650,1065642,B,4 years,8933,66000,01/12/2011,NV
28000,16,Charged Off,11800,1068179,E,10+ years,29178,52000,01/12/2011,TX
18000,20,Fully Paid,18000,1068158,A,10+ years,17381,56964,01/12/2011,CA
2500,20,Fully Paid,2500,1068180,C,7 years,9868,49500,01/12/2011,FL
21000,25,Fully Paid,21000,1065673,E,10+ years,12508,70000,01/12/2011,CO
35000,32,Fully Paid,35000,1068159,A,6 years,9051,125000,01/12/2011,CA
10000,19,Fully Paid,10000,1068165,A,3 years,68,33000,01/12/2011,NJ
7000,11,Fully Paid,7000,1059689,B,< 1 year,15455,30000,01/12/2011,VA
24000,23,Charged Off,24000,1066215,C,8 years,30952,90000,01/12/2011,CA
10625,21,Fully Paid,10625,1063270,A,5 years,7114,23000,01/12/2011,OR
5000,9,Fully Paid,5000,1067931,C,2 years,2429,24000,01/12/2011,PA
8850,19,Fully Paid,8850,1067922,A,10+ years,9466,62000,01/12/2011,MD
6375,11,Fully Paid,6375,1067919,A,4 years,6324,44000,01/12/2011,GA
6000,23,Fully Paid,6000,1068106,B,1 year,8489,90000,01/12/2011,NJ
11100,18,Charged Off,11100,1068111,A,10+ years,17518,41000,01/12/2011,PA
10000,18,Fully Paid,10000,1067655,B,2 years,10081,56000,01/12/2011,CA
6200,18,Fully Paid,6200,1060662,A,5 years,2982,26500,01/12/2011,WV
15000,12,Fully Paid,15000,1061304,E,1 year,15183,54000,01/12/2011,GA
4200,22,Fully Paid,4200,1068095,B,2 years,8336,53000,01/12/2011,MD
14000,14,Fully Paid,14000,1067182,C,4 years,13378,52800,01/12/2011,CA
8875,27,Fully Paid,8875,822464,A,1 year,19056,38000,01/12/2011,GA
13500,7,Fully Paid,13500,1063526,B,7 years,16023,38000,01/12/2011,CA
12000,16,Charged Off,12000,1068091,B,2 years,9749,42000,01/12/2011,MN
16000,19,Fully Paid,16000,1068090,E,4 years,7743,55000,01/12/2011,WA
21600,21,Fully Paid,21600,1068082,E,8 years,13354,60000,01/12/2011,GA
6000,22,Fully Paid,6000,1068078,B,6 years,11739,87000,01/12/2011,NJ
8450,21,Fully Paid,8450,1057633,D,5 years,17614,25000,01/12/2011,IL
20000,23,Fully Paid,20000,1046204,C,1 year,26693,82000,01/12/2011,OH
10000,26,Charged Off,10000,1067794,B,8 years,5626,60000,01/12/2011,CA
12000,11,Fully Paid,12000,1067816,D,5 years,29609,80000,01/12/2011,GA
13475,14,Charged Off,13475,1068018,C,10+ years,9943,25000,01/12/2011,CA
7200,10,Fully Paid,7200,1052996,B,5 years,16450,48000,01/12/2011,IL
5600,31,Charged Off,5600,1067818,C,1 year,6812,85000,01/12/2011,AZ
12000,11,Fully Paid,12000,1064842,C,< 1 year,9273,57000,01/12/2011,CA
8500,18,Fully Paid,8500,1067109,A,2 years,2463,25000,01/12/2011,MD
8000,7,Fully Paid,8000,1067971,B,2 years,7434,34000,01/12/2011,PA
8000,11,Fully Paid,8000,1057518,B,10+ years,18601,40000,01/12/2011,OR
16000,17,Fully Paid,16000,1067473,C,10+ years,12830,42656,01/12/2011,GA
15000,16,Fully Paid,15000,1062177,D,2 years,4582,44400,01/12/2011,FL
10000,30,Fully Paid,10000,1067447,B,2 years,9152,30000,01/12/2011,VT
10000,18,Fully Paid,10000,1059412,A,5 years,10770,70000,01/12/2011,NY
8000,11,Fully Paid,8000,1062608,C,3 years,6187,28000,01/12/2011,CA
22000,32,Fully Paid,22000,1067664,B,2 years,21470,50000,01/12/2011,MI
6000,30,Fully Paid,6000,1067441,C,10+ years,71890,94800,01/12/2011,TX
16000,23,Fully Paid,16000,1067654,B,10+ years,13270,40000,01/12/2011,FL
2500,20,Charged Off,2500,1067644,A,n/a,4853,12000,01/12/2011,CA
13500,15,Fully Paid,13500,1062288,B,2 years,25011,36000,01/12/2011,DC
25000,23,Fully Paid,25000,1067434,B,2 years,30449,225000,01/12/2011,NJ
10000,12,Fully Paid,10000,1067419,C,2 years,8936,45900,01/12/2011,CA
2500,6,Fully Paid,2500,1067601,C,4 years,3473,27200,01/12/2011,WA
7325,29,Fully Paid,7325,1067579,B,1 year,7281,42000,01/12/2011,FL
4000,21,Fully Paid,4000,1067563,B,5 years,29311,135000,01/12/2011,NY
10000,17,Charged Off,10000,1067364,C,5 years,14292,65000,01/12/2011,CA
7750,7,Charged Off,7750,1067152,D,< 1 year,2348,24000,01/12/2011,IL
20000,24,Charged Off,20000,1062471,F,6 years,10470,70000,01/12/2011,FL
9600,11,Fully Paid,9600,1066842,B,10+ years,11279,65000,01/12/2011,NY
21000,11,Charged Off,21000,1067126,B,3 years,10543,60000,01/12/2011,CA
14000,14,Fully Paid,14000,1067326,B,3 years,15542,30000,01/12/2011,CT
13350,15,Fully Paid,13350,1066789,B,10+ years,11531,43000,01/12/2011,CA
15000,38,Charged Off,15000,1067324,D,10+ years,8238,42000,01/12/2011,WI
15000,17,Charged Off,15000,1067102,D,8 years,13505,75000,01/12/2011,CA
11000,31,Fully Paid,11000,1046969,C,10+ years,1735,129000,01/12/2011,CA
35000,22,Fully Paid,35000,1067084,B,2 years,1099,168000,01/12/2011,TX
9000,10,Fully Paid,9000,1067090,B,9 years,7388,74000,01/12/2011,SD
22475,23,Fully Paid,22475,1060875,C,7 years,18554,52000,01/12/2011,NH
16000,10,Charged Off,16000,1067265,B,1 year,26224,58500,01/12/2011,IL
13500,11,Fully Paid,13500,1067287,B,5 years,6681,71000,01/12/2011,VA
24000,33,Fully Paid,24000,1067066,B,10+ years,21609,75000,01/12/2011,WA
12000,18,Fully Paid,12000,1067283,B,5 years,11849,60000,01/12/2011,CA
8400,13,Fully Paid,8400,1067266,D,5 years,9551,87996,01/12/2011,NY
28000,24,Fully Paid,28000,1066635,D,5 years,2686,140000,01/12/2011,NC
14000,46,Fully Paid,14000,1067026,A,10+ years,12095,66000,01/12/2011,VA
12000,12,Charged Off,12000,1067038,C,8 years,11546,70000,01/12/2011,NY
25000,18,Fully Paid,25000,1067030,B,10+ years,21128,100000,01/12/2011,RI
9000,21,Fully Paid,9000,1065350,B,5 years,12752,50000,01/12/2011,NY
13250,25,Fully Paid,13250,1067028,B,4 years,13392,35000,01/12/2011,OH
20000,17,Fully Paid,20000,1061877,C,6 years,19548,75000,01/12/2011,CA
3000,14,Fully Paid,3000,1067018,C,5 years,15072,71000,01/12/2011,WI
7350,5,Fully Paid,7350,1067223,B,10+ years,15587,48000,01/12/2011,AR
11500,14,Fully Paid,11500,1067004,C,5 years,8969,36000,01/12/2011,FL
13650,34,Charged Off,13650,1031265,B,10+ years,16140,86000,01/12/2011,CA
10500,8,Charged Off,10500,1066835,D,3 years,5379,30000,01/12/2011,CA
12000,21,Fully Paid,12000,1067181,B,2 years,12168,60000,01/12/2011,CA
6000,16,Fully Paid,6000,1067179,A,3 years,13683,34000,01/12/2011,OH
11500,11,Fully Paid,11500,1067172,C,10+ years,13147,44200,01/12/2011,CA
7000,31,Fully Paid,7000,1066712,B,7 years,25334,82000,01/12/2011,MD
29500,35,Fully Paid,29500,1066706,E,6 years,22087,83000,01/12/2011,NM
2000,11,Fully Paid,2000,1066836,C,2 years,18115,41000,01/12/2011,TX
11625,31,Fully Paid,11625,1066826,C,< 1 year,19979,36000,01/12/2011,KS
15075,14,Charged Off,15075,1063280,C,10+ years,10570,35000,01/12/2011,TX
5300,13,Fully Paid,5300,1057447,C,1 year,7855,30000,01/12/2011,CT
8200,11,Fully Paid,8200,1040867,A,< 1 year,2573,40000,01/12/2011,PA
12000,25,Fully Paid,12000,1065232,B,9 years,11243,105000,01/12/2011,TX
8650,23,Fully Paid,8650,1052492,C,4 years,6602,45000,01/12/2011,FL
21000,16,Fully Paid,11800,1066664,D,10+ years,25435,109000,01/12/2011,NJ
16000,16,Current,16000,1066659,D,2 years,15788,50000,01/12/2011,TX
12000,61,Fully Paid,12000,1066763,B,2 years,16550,83000,01/12/2011,CA
9500,42,Charged Off,9500,1066798,B,< 1 year,23729,52500,01/12/2011,CA
7400,13,Fully Paid,7400,1066639,C,< 1 year,5199,25000,01/12/2011,AZ
14400,26,Fully Paid,14400,1066633,C,10+ years,23317,60000,01/12/2011,FL
24250,20,Fully Paid,18100,1060644,G,7 years,31992,120000,01/12/2011,AZ
7200,14,Charged Off,7200,1066766,A,3 years,8783,68000,01/12/2011,GA
26000,14,Charged Off,26000,1066613,D,10+ years,7560,53000,01/12/2011,NC
7000,23,Charged Off,7000,1065648,B,6 years,45449,69600,01/12/2011,WA
4000,24,Fully Paid,4000,1066768,A,< 1 year,10032,65000,01/12/2011,CA
1500,14,Fully Paid,1500,1066617,D,10+ years,14186,144000,01/12/2011,CA
19600,12,Fully Paid,19600,1062015,B,2 years,20355,75000,01/12/2011,NY
2500,13,Fully Paid,2500,1066598,B,7 years,2668,29000,01/12/2011,AZ
10000,6,Charged Off,10000,1066503,B,2 years,6035,70000,01/12/2011,CA
10000,40,Fully Paid,10000,1066530,A,5 years,10133,45000,01/12/2011,OH
4225,12,Fully Paid,4225,1066520,B,5 years,4055,55200,01/12/2011,WA
3500,19,Fully Paid,3500,1065929,A,7 years,15472,61440,01/12/2011,CA
12000,21,Fully Paid,12000,1066582,A,10+ years,9873,56000,01/12/2011,FL
16500,24,Fully Paid,16500,1066348,A,< 1 year,13917,47000,01/12/2011,IL
22000,27,Fully Paid,22000,1061430,F,< 1 year,20154,55000,01/12/2011,WA
12000,38,Fully Paid,12000,1061519,C,1 year,17972,71000,01/12/2011,KS
15600,11,Charged Off,15600,1066344,B,10+ years,8079,50000,01/12/2011,NY
10800,23,Fully Paid,10800,1066480,B,8 years,18467,135000,01/12/2011,CA
14000,19,Fully Paid,14000,1066471,B,10+ years,17212,63000,01/12/2011,GA
18825,20,Current,18825,1064063,D,4 years,14092,44000,01/12/2011,NY
6000,14,Fully Paid,6000,1066318,C,5 years,7361,50000,01/12/2011,NM
12000,21,Fully Paid,12000,1066453,B,5 years,17536,80000,01/12/2011,TX
10000,19,Fully Paid,10000,1063090,B,4 years,10177,45000,01/12/2011,WA
8000,31,Fully Paid,8000,1061406,A,2 years,15988,78000,01/12/2011,NY
14125,20,Fully Paid,14125,1066278,B,1 year,19472,33000,01/12/2011,OR
14000,18,Fully Paid,14000,1066281,B,5 years,13579,62800,01/12/2011,WA
13200,12,Fully Paid,8975,1056150,D,3 years,7411,26400,01/12/2011,TX
4000,56,Fully Paid,4000,1066434,E,10+ years,6654,80000,01/12/2011,NC
4000,13,Charged Off,4000,1048526,B,2 years,8546,25000,01/12/2011,CO
10500,16,Fully Paid,10500,1028566,A,10+ years,10729,65000,01/12/2011,TX
5500,23,Fully Paid,5500,1066424,A,10+ years,9130,59000,01/12/2011,PA
7350,23,Fully Paid,7350,1066212,B,1 year,24782,33000,01/12/2011,CA
10000,19,Charged Off,10000,1066232,B,10+ years,11691,39000,01/12/2011,MO
12000,17,Fully Paid,12000,1056219,A,10+ years,18913,42000,01/12/2011,OH
5000,17,Fully Paid,5000,1066199,B,5 years,10023,38004,01/12/2011,MI
8000,29,Fully Paid,8000,1060851,B,3 years,2751,31000,01/12/2011,OR
4500,20,Fully Paid,4500,972383,A,10+ years,9127,50700,01/12/2011,NC
18000,27,Fully Paid,18000,1066191,B,1 year,14810,75000,01/12/2011,LA
12300,12,Fully Paid,12300,1066173,C,2 years,10981,30000,01/12/2011,MT
12000,13,Fully Paid,12000,1066379,C,6 years,10790,40000,01/12/2011,GA
10000,15,Fully Paid,10000,1066364,C,10+ years,8899,50000,01/12/2011,CA
6000,29,Fully Paid,6000,1066140,A,7 years,19071,80000,01/12/2011,WI
12000,23,Fully Paid,12000,1066171,B,4 years,16273,40000,01/12/2011,MD
12000,16,Charged Off,12000,1066162,A,7 years,13088,80000,01/12/2011,CA
7000,17,Fully Paid,7000,1040154,B,2 years,22196,75000,01/12/2011,CA
35000,50,Fully Paid,26825,1066155,E,8 years,31071,85000,01/12/2011,IL
1400,7,Fully Paid,1400,1065382,A,1 year,2016,28800,01/12/2011,FL
16000,14,Charged Off,16000,1063447,C,10+ years,19184,35000,01/12/2011,NC
3200,17,Fully Paid,3200,1065932,B,9 years,2795,61200,01/12/2011,CA
8000,11,Fully Paid,8000,1065936,A,1 year,2440,40000,01/12/2011,CA
11875,28,Charged Off,11875,1066112,B,< 1 year,13932,25920,01/12/2011,CA
5000,14,Fully Paid,5000,1066084,A,9 years,1779,54000,01/12/2011,NJ
1800,12,Fully Paid,1800,1066081,A,10+ years,1792,18000,01/12/2011,MI
35000,13,Fully Paid,35000,1065896,A,5 years,16720,85000,01/12/2011,IL
18000,10,Fully Paid,18000,1066065,A,5 years,17769,78000,01/12/2011,NY
14000,10,Charged Off,14000,1066071,A,10+ years,15846,45600,01/12/2011,WV
5000,26,Fully Paid,5000,1062094,B,2 years,13543,70000,01/12/2011,TX
8000,30,Fully Paid,8000,1061154,C,4 years,24072,70000,01/12/2011,IL
10000,17,Fully Paid,10000,1066061,A,9 years,27644,80000,01/12/2011,MA
10000,25,Fully Paid,10000,1065863,A,5 years,6592,50000,01/12/2011,NJ
12000,13,Fully Paid,12000,1065862,B,10+ years,8198,35000,01/12/2011,CO
23200,34,Fully Paid,23200,1065854,A,3 years,36381,65000,01/12/2011,MI
18000,23,Current,18000,1065145,C,1 year,22542,84000,01/12/2011,CT
4800,18,Fully Paid,4800,1062260,C,10+ years,22195,75000,01/12/2011,WV
7300,17,Fully Paid,7300,1065842,B,6 years,9628,35000,01/12/2011,VA
10400,19,Fully Paid,10400,1066018,B,6 years,11624,40000,01/12/2011,FL
6600,30,Fully Paid,6600,1049352,B,1 year,2171,100000,01/12/2011,FL
12000,20,Fully Paid,12000,1066016,A,7 years,13756,40000,01/12/2011,NJ
13250,18,Fully Paid,13250,1065997,D,10+ years,15002,52000,01/12/2011,NY
12000,21,Fully Paid,12000,1061891,B,3 years,9558,92500,01/12/2011,CA
25000,10,Fully Paid,25000,1065752,B,9 years,23712,61000,01/12/2011,CA
6000,9,Fully Paid,6000,1063126,B,10+ years,13626,36000,01/12/2011,HI
12000,34,Fully Paid,12000,1065738,A,10+ years,15433,68000,01/12/2011,CA
14400,16,Fully Paid,14400,1061467,B,1 year,19983,80000,01/12/2011,CA
10000,33,Fully Paid,10000,1065721,B,10+ years,13034,43000,01/12/2011,NY
8000,8,Fully Paid,8000,1065717,B,1 year,9722,150000,01/12/2011,NY
8000,12,Charged Off,8000,1065026,D,5 years,5106,50000,01/12/2011,NV
30000,14,Charged Off,30000,1057001,B,3 years,1159,70000,01/12/2011,TX
18000,20,Charged Off,18000,1065513,D,6 years,11147,40000,01/12/2011,CA
13250,21,Fully Paid,13250,1065698,B,2 years,10014,35000,01/12/2011,PA
14000,11,Fully Paid,14000,1065681,C,6 years,11546,80000,01/12/2011,CA
20000,32,Charged Off,20000,1061788,E,10+ years,32137,59000,01/12/2011,AK
10000,18,Fully Paid,10000,1065484,D,10+ years,11665,40000,01/12/2011,NY
35000,24,Fully Paid,23250,1061681,E,5 years,31306,85000,01/12/2011,NJ
4000,18,Fully Paid,4000,1065661,A,1 year,2189,55000,01/12/2011,OR
13000,14,Fully Paid,13000,1065663,B,6 years,9599,110000,01/12/2011,CA
28000,15,Fully Paid,28000,1065480,B,5 years,5739,100000,01/12/2011,WI
10000,20,Fully Paid,10000,1065658,C,3 years,16462,62000,01/12/2011,MA
20000,10,Fully Paid,20000,1065447,A,< 1 year,14386,45000,01/12/2011,GA
18000,22,Fully Paid,18000,1065470,B,5 years,12371,110000,01/12/2011,FL
9000,30,Charged Off,9000,1065467,E,3 years,21321,60000,01/12/2011,CA
25000,25,Charged Off,25000,1065649,E,10+ years,24278,61500,01/12/2011,NY
10000,9,Fully Paid,10000,1065430,B,3 years,6621,33000,01/12/2011,NY
4200,16,Fully Paid,4200,1059462,A,3 years,4228,61000,01/12/2011,NJ
20000,21,Charged Off,20000,1064102,C,10+ years,25161,78216,01/12/2011,CA
18000,30,Charged Off,18000,1062399,D,1 year,11273,62000,01/12/2011,VA
24000,13,Fully Paid,24000,1065572,D,2 years,16318,50964,01/12/2011,GA
4475,29,Fully Paid,4475,1065567,C,3 years,4489,43680,01/12/2011,CO
20000,15,Current,20000,1065342,C,2 years,19348,56000,01/12/2011,CA
12000,18,Fully Paid,12000,1065355,B,5 years,18682,50700,01/12/2011,NJ
18000,28,Fully Paid,18000,1058717,D,n/a,5945,60000,01/12/2011,AL
5000,40,Charged Off,5000,1065348,B,2 years,7980,30000,01/12/2011,SC
3000,15,Fully Paid,3000,890389,A,5 years,9616,50000,01/12/2011,VA
25000,13,Fully Paid,25000,1065142,E,10+ years,24150,75000,01/12/2011,WY
18000,16,Current,18000,1065320,E,3 years,13371,90000,01/12/2011,NY
12000,17,Charged Off,12000,1065304,B,10+ years,11774,55000,01/12/2011,RI
20000,12,Fully Paid,20000,1065180,C,10+ years,6855,50000,01/12/2011,MA
10000,10,Fully Paid,10000,1065298,C,3 years,6046,84000,01/12/2011,CA
15000,41,Fully Paid,15000,1064904,B,6 years,68319,155000,01/12/2011,GA
12000,15,Fully Paid,12000,1064696,A,< 1 year,18125,62000,01/12/2011,MD
20000,39,Current,13475,977277,B,2 years,16008,175000,01/12/2011,TX
6300,11,Fully Paid,6300,1065260,B,2 years,6274,30000,01/12/2011,NY
20000,22,Current,20000,1059734,D,7 years,16565,50000,01/12/2011,IL
35000,79,Fully Paid,23150,1065110,D,8 years,3761,208000,01/12/2011,MD
8250,21,Fully Paid,8250,1047987,C,2 years,4479,35004,01/12/2011,NY
20000,31,Current,20000,1065104,B,7 years,17537,85000,01/12/2011,LA
